;Timestamp;Millis;Particles>0.3um_per_0.1L_air;Particles>0.5um_per_0.1L_air;Particles>1.0um_per_0.1L_air;Particles>2.5um_per_0.1L_air;Particles>5.0um_per_0.1L_air;Particles>10.0um_per_0.1L_air;PM1.0(Env);PM2.5(Env);PM10(Env);Humidity;Temperature;flight_iteration;Lat;Long;Alt
0;3/23/2024 10:31;63667;0;0;0;0;0;0;52;72;80;38;24.5;0;45.71565823;16.3498907;159
3;3/23/2024 10:32;125913;0;0;0;0;0;0;64;86;100;36;24.39999962;0;45.716999;16.3487077;160
5;3/23/2024 10:33;187858;363;103;8;0;0;0;2;2;2;35;24.60000038;0;45.717999;16.34779183;160
7;3/23/2024 10:34;187858;600;164;23;0;0;0;3;5;5;34;25;0;45.718999;16.34371717;160
11;3/23/2024 10:35;249803;1149;381;65;22;0;0;8;14;17;36;26.39999962;0;45.717999;16.34631387;160
13;3/23/2024 10:36;311749;471;136;8;0;0;0;2;2;2;30;27;0;45.715999;16.34785418;164
16;3/23/2024 10:38;373694;756;223;23;0;0;0;4;6;6;30;27.29999924;0;45.717999;16.34321653;165
18;3/23/2024 10:38;435639;408;107;19;1;0;0;1;2;2;30;27.20000076;0;45.71864822;16.3423865;166
23;3/23/2024 10:40;559529;498;147;5;0;0;0;2;2;2;32;25.60000038;0;45.71789141;16.3458573;167
28;3/23/2024 10:43;683420;549;170;22;2;1;1;2;4;6;32;27.20000076;0;45.71691388;16.3491301;170
30;3/23/2024 10:44;745365;651;200;17;1;1;0;3;3;4;29;27.20000076;0;45.71595496;16.34871395;171
32;3/23/2024 10:45;807310;810;262;25;4;2;2;4;7;9;29;25.60000038;0;45.71524942;16.34712545;172
34;3/23/2024 10:46;869255;12696;4232;70;24;24;0;62;64;85;35;24.89999962;0;45.71697;16.34638806;173
36;3/23/2024 10:47;931201;927;297;89;36;35;0;4;8;32;32;26.10000038;0;45.71648512;16.34553117;174
38;3/23/2024 10:48;993146;531;154;8;0;0;0;2;2;2;29;25.89999962;0;45.71584211;16.34458895;175
40;3/23/2024 10:49;1055091;495;159;10;3;1;1;2;3;4;29;24.60000038;0;45.71878011;16.34359895;176
42;3/23/2024 10:50;1117036;447;130;18;1;0;0;2;3;3;28;24.20000076;0;45.71976947;16.35960066;177
44;3/23/2024 10:51;1178981;306;82;9;1;0;0;1;2;2;32;24;0;45.71856796;16.33263386;169
46;3/23/2024 10:52;1240926;180;45;10;1;0;0;0;0;0;32;23.70000076;0;45.71798007;16.3317371;169
48;3/23/2024 10:53;1302871;306;82;19;2;0;0;1;2;2;34;23.29999924;0;45.71790492;16.33194614;169
50;3/23/2024 10:54;1364816;171;44;6;1;0;0;0;1;1;37;22.70000076;0;45.7183609;16.33229249;169
52;3/23/2024 10:55;64627;393;110;9;0;0;0;1;2;2;42;23.20000076;1;45.71948121;16.33380223;169
53;3/23/2024 10:58;64626;342;95;10;0;0;0;1;2;2;30;25.29999924;2;45.71848122;16.3394949;169
55;3/23/2024 10:59;125364;432;125;22;3;1;1;2;3;4;31;24.70000076;2;45.71560576;16.33838275;169
56;3/23/2024 11:16;2380;10740;3558;124;25;9;4;51;62;78;31;26.10000038;3;45.71406919;16.33747024;169
58;3/23/2024 11:17;63129;13125;4216;174;37;21;8;61;69;89;30;26.20000076;3;45.71700287;16.33675391;169
60;3/23/2024 11:18;123879;447;132;35;1;1;1;2;4;6;32;26.89999962;3;45.71942304;16.33522242;169
63;3/23/2024 11:19;184629;318;90;12;0;0;0;1;1;1;31;27.20000076;3;45.71822682;16.33485712;169
65;3/23/2024 11:20;245378;471;142;25;1;0;0;2;3;3;30;27.70000076;3;45.71621743;16.33363268;169
67;3/23/2024 11:23;366878;516;147;44;25;24;0;2;3;23;30;27.79999924;3;45.71615232;16.3325182;169
70;3/23/2024 11:23;427626;423;132;15;1;0;0;2;3;3;32;29;3;45.71780261;16.33147837;169
72;3/23/2024 11:24;488375;468;145;15;0;0;0;2;3;3;28;29.29999924;3;45.717999;16.34947491;169
74;3/23/2024 11:25;549125;3801;1267;62;9;6;1;25;31;35;29;29.39999962;3;45.7187111;16.3484681;169
75;3/23/2024 11:34;69333;1473;480;29;5;3;1;10;11;13;28;30.29999924;4;45.71699931;16.34741833;169
77;3/23/2024 11:35;130080;3756;1252;19;1;0;0;24;27;27;31;30.70000076;4;45.71703791;16.34628773;169
79;3/23/2024 11:36;190830;3294;1098;11;2;0;0;22;23;23;31;32.59999847;4;45.71906229;16.34504163;169
84;3/23/2024 11:38;312330;4278;1426;41;0;0;0;26;31;31;32;33.29999924;4;45.7173113;16.34964998;169
86;3/23/2024 11:39;373079;3423;1141;18;0;0;0;22;24;24;31;33.29999924;4;45.71586882;16.34808853;169
91;3/23/2024 11:41;494580;3243;1081;23;1;1;1;22;24;25;30;32.90000153;4;45.7171187;16.34733979;169
93;3/23/2024 11:42;555332;3105;1035;119;48;43;8;20;24;53;32;32.70000076;4;45.71572424;16.34839374;169
95;3/23/2024 11:43;616082;2592;864;16;0;0;0;18;18;18;33;32.20000076;4;45.71963718;16.34724824;169
97;3/23/2024 11:44;676831;1935;645;26;1;0;0;13;14;14;33;32.20000076;4;45.71763401;16.34690909;169
99;3/23/2024 11:45;737581;426;142;83;45;40;19;1;6;38;33;32.40000153;4;45.71747067;16.3453898;169
101;3/23/2024 11:46;798330;2181;727;7;0;0;0;15;16;16;33;32.59999847;4;45.71894231;16.34471108;169
104;3/23/2024 11:47;859079;1914;634;14;0;0;0;12;13;13;34;32.40000153;4;45.71793346;16.34689999;169
106;3/23/2024 11:48;919829;2271;757;19;0;0;0;16;16;16;30;30.70000076;4;45.71844628;16.34598886;169
108;3/23/2024 11:49;980579;1305;435;17;2;1;1;9;9;10;32;32;4;45.71960006;16.34401401;169
110;3/23/2024 11:50;1041327;1620;540;29;1;0;0;11;12;12;33;31.70000076;4;45.71560198;16.34301432;169
111;3/23/2024 12:03;2358;2247;741;14;0;0;0;14;15;15;26;33;5;45.7176964;16.33502963;169
112;3/23/2024 12:03;2394;1188;375;237;154;150;6;4;7;79;26;33.20000076;5;45.71910504;16.33209921;169
114;3/23/2024 12:04;63142;1635;529;308;166;162;9;8;15;85;25;32.90000153;5;45.71897269;16.33126014;169
116;3/23/2024 12:05;123891;429;126;13;1;0;0;1;3;3;33;33.70000076;5;45.71733175;16.33954587;169
118;3/23/2024 12:06;184641;813;262;99;38;24;0;4;11;26;23;34.29999924;5;45.71909431;16.33998489;169
120;3/23/2024 12:09;306141;5301;1760;1493;1149;35;22;6;40;446;24;34.5;5;45.71607367;16.33659955;169
123;3/23/2024 12:10;366888;1290;422;17;0;0;0;8;10;10;23;34.59999847;5;45.71703004;16.33140522;169
